[04/06 15:22:57]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:38:28]: Epoch Test: 108, Current test accuracy: 0.8867, Best test accuracy in 95: 0.8943
[04/06 15:38:36]: epoch: 109, train_loss: 0.162542, train_accuracy: 0.9429
[04/06 15:38:37]: Epoch Test: 109, Current test accuracy: 0.8577, Best test accuracy in 95: 0.8943
[04/06 15:38:45]: epoch: 110, train_loss: 0.164953, train_accuracy: 0.9427
[04/06 15:38:46]: Epoch Test: 110, Current test accuracy: 0.8805, Best test accuracy in 95: 0.8943
[04/06 15:38:54]: epoch: 111, train_loss: 0.164910, train_accuracy: 0.9420
[04/06 15:38:55]: Epoch Test: 111, Current test accuracy: 0.8888, Best test accuracy in 95: 0.8943
[04/06 15:39:03]: epoch: 112, train_loss: 0.163067, train_accuracy: 0.9437
[04/06 15:39:04]: Epoch Test: 112, Current test accuracy: 0.8599, Best test accuracy in 95: 0.8943
[04/06 15:39:12]: epoch: 113, train_loss: 0.164714, train_accuracy: 0.9429
[04/06 15:39:13]: Epoch Test: 113, Current test accuracy: 0.8398, Best test accuracy in 95: 0.8943
[04/06 15:39:21]: epoch: 114, train_loss: 0.159240, train_accuracy: 0.9436
[04/06 15:39:22]: Epoch Test: 114, Current test accuracy: 0.8742, Best test accuracy in 95: 0.8943
[04/06 15:39:30]: epoch: 115, train_loss: 0.162394, train_accuracy: 0.9436
[04/06 15:39:31]: Epoch Test: 115, Current test accuracy: 0.8730, Best test accuracy in 95: 0.8943
[04/06 15:39:39]: epoch: 116, train_loss: 0.165827, train_accuracy: 0.9416
[04/06 15:39:40]: Epoch Test: 116, Current test accuracy: 0.8711, Best test accuracy in 95: 0.8943
[04/06 15:39:48]: epoch: 117, train_loss: 0.159696, train_accuracy: 0.9445
[04/06 15:39:49]: Epoch Test: 117, Current test accuracy: 0.8917, Best test accuracy in 95: 0.8943
[04/06 15:39:57]: epoch: 118, train_loss: 0.158768, train_accuracy: 0.9444
[04/06 15:39:58]: Epoch Test: 118, Current test accuracy: 0.8736, Best test accuracy in 95: 0.8943
[04/06 15:40:06]: epoch: 119, train_loss: 0.163496, train_accuracy: 0.9422
[04/06 15:40:07]: Epoch Test: 119, Current test accuracy: 0.8776, Best test accuracy in 95: 0.8943
[04/06 15:40:15]: epoch: 120, train_loss: 0.160935, train_accuracy: 0.9436
[04/06 15:40:16]: Epoch Test: 120, Current test accuracy: 0.8682, Best test accuracy in 95: 0.8943
[04/06 15:40:24]: epoch: 121, train_loss: 0.157582, train_accuracy: 0.9437
[04/06 15:40:25]: Epoch Test: 121, Current test accuracy: 0.8854, Best test accuracy in 95: 0.8943
[04/06 15:40:33]: epoch: 122, train_loss: 0.162063, train_accuracy: 0.9433
[04/06 15:40:33]: Epoch Test: 122, Current test accuracy: 0.8874, Best test accuracy in 95: 0.8943
[04/06 15:40:42]: epoch: 123, train_loss: 0.159636, train_accuracy: 0.9438
[04/06 15:40:43]: Epoch Test: 123, Current test accuracy: 0.8830, Best test accuracy in 95: 0.8943
[04/06 15:40:51]: epoch: 124, train_loss: 0.159520, train_accuracy: 0.9446
[04/06 15:40:52]: Epoch Test: 124, Current test accuracy: 0.8716, Best test accuracy in 95: 0.8943
[04/06 15:41:00]: epoch: 125, train_loss: 0.158715, train_accuracy: 0.9447
[04/06 15:41:01]: Epoch Test: 125, Current test accuracy: 0.8618, Best test accuracy in 95: 0.8943
[04/06 15:41:09]: epoch: 126, train_loss: 0.154752, train_accuracy: 0.9457
[04/06 15:41:10]: Epoch Test: 126, Current test accuracy: 0.8573, Best test accuracy in 95: 0.8943
[04/06 15:41:18]: epoch: 127, train_loss: 0.153383, train_accuracy: 0.9456
[04/06 15:41:19]: Epoch Test: 127, Current test accuracy: 0.8692, Best test accuracy in 95: 0.8943
[04/06 15:41:27]: epoch: 128, train_loss: 0.162433, train_accuracy: 0.9431
