[04/05 20:14:58]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=110, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04052000', seed=17, weight_decay=0.0001)
[04/05 21:03:20]: epoch: 118, train_loss: 0.176741, train_accuracy: 0.9638
[04/05 21:03:21]: Epoch Test: 118, Current test accuracy: 0.8875, Best test accuracy in 99: 0.8930
[04/05 21:03:44]: epoch: 119, train_loss: 0.177652, train_accuracy: 0.9637
[04/05 21:03:46]: Epoch Test: 119, Current test accuracy: 0.8772, Best test accuracy in 99: 0.8930
[04/05 21:04:09]: epoch: 120, train_loss: 0.185658, train_accuracy: 0.9625
[04/05 21:04:10]: Epoch Test: 120, Current test accuracy: 0.8722, Best test accuracy in 99: 0.8930
[04/05 21:04:33]: epoch: 121, train_loss: 0.172848, train_accuracy: 0.9646
[04/05 21:04:34]: Epoch Test: 121, Current test accuracy: 0.8837, Best test accuracy in 99: 0.8930
[04/05 21:04:58]: epoch: 122, train_loss: 0.181206, train_accuracy: 0.9629
[04/05 21:04:59]: Epoch Test: 122, Current test accuracy: 0.8886, Best test accuracy in 99: 0.8930
[04/05 21:05:22]: epoch: 123, train_loss: 0.163788, train_accuracy: 0.9663
[04/05 21:05:23]: Epoch Test: 123, Current test accuracy: 0.8890, Best test accuracy in 99: 0.8930
[04/05 21:05:47]: epoch: 124, train_loss: 0.174674, train_accuracy: 0.9648
[04/05 21:05:48]: Epoch Test: 124, Current test accuracy: 0.8717, Best test accuracy in 99: 0.8930
[04/05 21:06:11]: epoch: 125, train_loss: 0.167655, train_accuracy: 0.9658
[04/05 21:06:13]: Epoch Test: 125, Current test accuracy: 0.8818, Best test accuracy in 99: 0.8930
[04/05 21:06:36]: epoch: 126, train_loss: 0.164922, train_accuracy: 0.9667
[04/05 21:06:37]: Epoch Test: 126, Current test accuracy: 0.8758, Best test accuracy in 99: 0.8930
[04/05 21:07:00]: epoch: 127, train_loss: 0.162902, train_accuracy: 0.9677
[04/05 21:07:01]: Epoch Test: 127, Current test accuracy: 0.8896, Best test accuracy in 99: 0.8930
[04/05 21:07:25]: epoch: 128, train_loss: 0.167763, train_accuracy: 0.9663
[04/05 21:07:26]: Epoch Test: 128, Current test accuracy: 0.8905, Best test accuracy in 99: 0.8930
[04/05 21:07:49]: epoch: 129, train_loss: 0.171989, train_accuracy: 0.9646
[04/05 21:07:50]: Epoch Test: 129, Current test accuracy: 0.8801, Best test accuracy in 99: 0.8930
[04/05 21:08:14]: epoch: 130, train_loss: 0.163986, train_accuracy: 0.9668
[04/05 21:08:15]: Epoch Test: 130, Current test accuracy: 0.8894, Best test accuracy in 99: 0.8930
[04/05 21:08:38]: epoch: 131, train_loss: 0.154226, train_accuracy: 0.9690
[04/05 21:08:39]: Epoch Test: 131, Current test accuracy: 0.8848, Best test accuracy in 99: 0.8930
[04/05 21:09:03]: epoch: 132, train_loss: 0.163721, train_accuracy: 0.9665
[04/05 21:09:04]: Epoch Test: 132, Current test accuracy: 0.8884, Best test accuracy in 99: 0.8930
[04/05 21:09:27]: epoch: 133, train_loss: 0.153134, train_accuracy: 0.9690
[04/05 21:09:28]: Epoch Test: 133, Current test accuracy: 0.8876, Best test accuracy in 99: 0.8930
[04/05 21:09:51]: epoch: 134, train_loss: 0.156974, train_accuracy: 0.9677
[04/05 21:09:53]: Epoch Test: 134, Current test accuracy: 0.8840, Best test accuracy in 99: 0.8930
[04/05 21:10:16]: epoch: 135, train_loss: 0.150152, train_accuracy: 0.9691
[04/05 21:10:17]: Epoch Test: 135, Current test accuracy: 0.8895, Best test accuracy in 99: 0.8930
[04/05 21:10:40]: epoch: 136, train_loss: 0.159643, train_accuracy: 0.9682
[04/05 21:10:42]: Epoch Test: 136, Current test accuracy: 0.8846, Best test accuracy in 99: 0.8930
[04/05 21:11:05]: epoch: 137, train_loss: 0.146963, train_accuracy: 0.9708
